circuit,seed,variant,donor_circuit,aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,action_sequence_identical_to_control,n_actions_differing,permutation_changed,vtr_success,cached,vtr_seconds,source
softmax,123,control,,0.9,36,40,7251280.0,6.10175,0.07217,3193197.5718958,10.767749068082653,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
lightweight_cipher,7,shuffled_netcount,,0.8,10,13,336305.0,3.58417,0.02059,24818.6566691915,30.223853190985402,True,0,True,True,,5.49,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,7,zero_graph_embedding,,0.8,10,13,299970.0,13.3832,0.005736,23027.507578944,48.256524782893926,False,3,,True,,9.26,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,7,zero_edges,,0.8,10,13,299970.0,13.7494,0.005637,23249.285178965998,47.75818410442031,True,0,,True,,5.89,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,7,shuffled_netcount,,0.8,10,13,299970.0,13.7494,0.005637,23249.285178965998,47.75818410442031,True,0,False,True,,9.51,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,7,zero_edges,,0.8,10,13,336305.0,3.58417,0.02059,24818.6566691915,30.223853190985402,True,0,,True,,10.27,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,7,zero_graph_embedding,,0.8,10,13,336305.0,3.58417,0.02059,24818.6566691915,30.223853190985402,True,0,,True,,10.84,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,42,zero_graph_embedding,,0.8,9,11,256854.0,13.3377,0.005262,18026.7784770996,59.49330763755896,False,4,,True,,3.67,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,42,zero_edges,,0.7,9,13,275147.0,14.2122,0.005314,20780.1004437276,53.30651358455434,False,1,,True,,3.91,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,42,shuffled_netcount,,0.8,9,11,256464.0,13.5217,0.005193,18008.437392878397,59.53452058401446,True,0,True,True,,4.0,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,42,zero_graph_embedding,,0.8,10,13,336307.0,3.36591,0.02178,24654.5046753786,30.68535655806729,False,1,,True,,6.53,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,7,zero_graph_embedding,,0.9,34,38,3189100.0,5.98962,0.1665,3180399.274143,62.476016692147454,False,2,,True,,21.69,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,42,shuffled_netcount,,0.9,10,11,300614.0,3.55856,0.02004,21437.8492350336,39.72878808746763,True,0,False,True,,3.64,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,7,zero_edges,,0.9,34,38,3189100.0,6.16933,0.1619,3185319.4080557004,62.41796642647371,True,0,,True,,26.48,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,42,zero_edges,,0.7,9,13,309859.0,3.59738,0.01999,22282.464582705798,37.354203303051,False,4,,True,,7.53,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,7,shuffled_netcount,,0.9,34,38,3189100.0,6.16933,0.1619,3185319.4080557004,62.41796642647371,True,0,True,True,,31.89,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,42,zero_graph_embedding,,0.9,34,38,3771980.0,6.7722,0.1499,3829135.9831044003,54.8218879680682,False,4,,True,,40.55,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,42,shuffled_netcount,,0.9,34,38,3771980.0,6.62671,0.153,3824360.0906273997,54.87823639923658,True,0,True,True,,36.45,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,42,zero_edges,,0.9,34,38,3771980.0,6.62671,0.153,3824360.0906273997,54.87823639923658,True,0,,True,,37.6,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,42,zero_edges,,0.9,32,36,9098530.0,7.98107,0.1307,9490911.83090197,18.352092925324985,False,2,,True,,145.73,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,7,zero_graph_embedding,,0.9,32,36,8209450.0,7.279,0.1364,8150798.405419999,29.880748799781447,False,18,,True,,201.69,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,7,shuffled_netcount,,0.9,32,36,8209430.0,7.81703,0.1288,8265528.8443655195,28.89375193535369,True,0,False,True,,216.54,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,123,zero_graph_embedding,,0.8,8,10,210597.0,13.6813,0.004833,13925.036477571299,68.71004048508706,False,3,,True,,2.46,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,123,shuffled_netcount,,0.8,9,11,256780.0,13.6801,0.005183,18206.718412274,59.088977401455686,True,0,True,True,,3.54,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,123,zero_edges,,0.8,8,10,210597.0,13.6813,0.004833,13925.036477571299,68.71004048508706,False,3,,True,,0.0,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,7,zero_edges,,0.9,32,36,8209430.0,7.81703,0.1288,8265528.8443655195,28.89375193535369,True,0,,True,,226.87,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,7,zero_graph_embedding,,0.9,32,36,9437140.0,19.5507,0.06025,11116287.253129499,3.0712012761970913,False,7,,True,,229.66,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,42,zero_graph_embedding,,0.9,32,36,8757140.0,7.60005,0.1337,8898363.6382809,23.449634724298143,False,4,,True,,219.11,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,123,zero_graph_embedding,,0.8,10,13,336297.0,3.44082,0.02129,24635.4561729666,30.7389102664129,False,2,,True,,4.6,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,123,shuffled_netcount,,0.8,10,13,336321.0,3.53812,0.02077,24715.138053920404,30.514889494557313,True,0,True,True,,4.94,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
lightweight_cipher,123,zero_edges,,0.8,10,13,336321.0,3.53812,0.02077,24715.138053920404,30.514889494557313,True,0,,True,,0.0,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,123,zero_graph_embedding,,0.9,34,38,3476700.0,6.57143,0.153,3495574.274193,58.75742024512888,False,37,,True,,39.47,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,123,shuffled_netcount,,0.9,34,38,3477470.0,6.04504,0.1658,3485355.6222510403,58.87798514652862,True,0,True,True,,43.5,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
mkDelayWorker32B,123,zero_edges,,0.9,34,38,3477550.0,6.52177,0.155,3515366.0958425,58.52390617309213,False,10,,True,,43.83,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,42,zero_graph_embedding,,0.9,32,36,8960520.0,19.5741,0.05867,10290372.69959244,10.272787894095602,False,6,,True,,260.42,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,7,zero_edges,,0.9,32,36,9071400.0,19.1275,0.0601,10428143.53035,9.071491020379856,False,2,,True,,295.32,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,42,zero_edges,,0.9,32,36,8862920.0,19.4987,0.05851,10111430.11911604,11.833083069198413,True,0,,True,,241.76,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,42,shuffled_netcount,,0.9,32,36,8862920.0,19.4987,0.05851,10111430.11911604,11.833083069198413,True,0,True,True,,257.3,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,42,shuffled_netcount,,0.9,32,36,8855260.0,7.84714,0.1313,9123835.44877532,21.50995793041336,True,0,False,True,,283.95,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,7,zero_edges,,0.9,36,40,7429200.0,6.5186,0.06972,3376398.9831264005,5.648280594885477,True,0,,True,,307.74,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,7,zero_graph_embedding,,0.9,36,40,7429200.0,6.5186,0.06972,3376398.9831264005,5.648280594885477,True,0,,True,,320.8,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,7,shuffled_netcount,,0.9,32,36,9071400.0,19.762,0.0595,10666505.9046,6.993083178723758,True,0,True,True,,332.22,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,7,shuffled_netcount,,0.9,36,40,7429200.0,6.5186,0.06972,3376398.9831264005,5.648280594885477,True,0,False,True,,331.21,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,42,zero_graph_embedding,,0.9,36,40,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,True,0,,True,,306.72,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,123,shuffled_netcount,,0.9,32,36,9230760.0,7.37335,0.1375,9358473.333825001,19.491427722139992,True,0,False,True,,142.19,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,123,zero_edges,,0.9,32,36,9098840.0,7.88389,0.1311,9404360.65844436,19.09667070793741,False,4,,True,,134.42,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,42,shuffled_netcount,,0.9,36,40,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,True,0,False,True,,271.68,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,123,zero_graph_embedding,,0.9,32,36,8862980.0,19.4274,0.05868,10103795.71101936,11.899651518621143,False,22,,True,,182.53,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,123,zero_edges,,0.9,32,36,9205480.0,18.9042,0.06082,10584032.33367312,7.712213943732944,False,4,,True,,162.49,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,42,zero_edges,,0.9,36,40,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,True,0,,True,,266.23,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
reduction_layer,123,zero_graph_embedding,,0.9,32,36,8966280.0,7.01758,0.1423,8953741.858901521,22.973229939199257,False,28,,True,,220.59,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
arm_core,123,shuffled_netcount,,0.9,32,36,9071590.0,18.7941,0.06082,10369345.92022758,9.584178538003352,False,2,True,True,,203.36,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,123,zero_graph_embedding,,0.9,36,40,7549160.0,6.21562,0.07182,3369989.023524144,5.827403593326317,False,5,,True,,206.3,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,123,zero_edges,,0.9,36,40,7429200.0,6.293,0.07136,3336219.5516160005,6.771073981174197,False,2,,True,,191.89,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
softmax,123,shuffled_netcount,,0.9,36,40,7251280.0,6.10175,0.07217,3193197.5718958,10.767749068082653,True,0,False,True,,200.83,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json cached flag not captured in the first E1 pass (column added afterwards); see data_export2/README.md for the exact duplicate-floorplan count.
custom_macbuf,123,mismatched_netlist,softmax,0.8,9,11,256780.0,13.6801,0.005183,18206.718412274,59.088977401455686,True,0,,True,True,0.54,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
custom_macbuf,7,mismatched_netlist,softmax,0.8,10,13,299970.0,13.7494,0.005637,23249.285178965998,47.75818410442031,True,0,,True,True,0.78,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
custom_macbuf,42,mismatched_netlist,softmax,0.8,9,11,256464.0,13.5217,0.005193,18008.437392878397,59.53452058401446,True,0,,True,True,0.68,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
mkDelayWorker32B,7,mismatched_netlist,reduction_layer,0.9,34,38,3189100.0,6.16933,0.1619,3185319.4080557004,62.41796642647371,True,0,,True,True,0.39,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
mkDelayWorker32B,42,mismatched_netlist,reduction_layer,0.9,34,38,3771980.0,6.62671,0.153,3824360.0906273997,54.87823639923658,True,0,,True,True,0.27,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
lightweight_cipher,7,mismatched_netlist,softmax,0.8,10,13,336294.0,3.72021,0.01978,24746.447488417198,30.426864919856317,False,2,,True,False,8.8,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
arm_core,7,mismatched_netlist,reduction_layer,0.9,32,36,9071400.0,19.1275,0.0601,10428143.53035,9.071491020379856,False,2,,True,True,0.05,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
lightweight_cipher,123,mismatched_netlist,softmax,0.8,10,13,336297.0,3.72946,0.01975,24770.572639995004,30.3590385205181,False,3,,True,False,5.52,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
reduction_layer,7,mismatched_netlist,mkDelayWorker32B,0.9,32,36,8209430.0,7.81703,0.1288,8265528.8443655195,28.89375193535369,True,0,,True,True,0.01,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
arm_core,42,mismatched_netlist,reduction_layer,0.9,32,36,8862920.0,19.4987,0.05851,10111430.11911604,11.833083069198413,True,0,,True,True,0.01,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
lightweight_cipher,42,mismatched_netlist,softmax,0.8,10,13,336155.0,3.61356,0.02035,24719.47592763,30.502693825918424,False,4,,True,False,8.05,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
reduction_layer,42,mismatched_netlist,mkDelayWorker32B,0.9,32,36,8855260.0,7.84714,0.1313,9123835.44877532,21.50995793041336,True,0,,True,True,0.07,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
softmax,42,mismatched_netlist,arm_core,0.9,36,40,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,True,0,,True,True,0.1,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
mkDelayWorker32B,123,mismatched_netlist,reduction_layer,0.9,34,38,3635280.0,5.82664,0.1722,3647448.76535424,56.96552703299166,False,15,,True,False,22.21,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
arm_core,123,mismatched_netlist,reduction_layer,0.9,32,36,9071590.0,19.1021,0.06038,10463033.999688819,8.76726253087502,False,10,,True,False,123.08,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
reduction_layer,123,mismatched_netlist,mkDelayWorker32B,0.9,32,36,8966330.0,7.61726,0.1343,9172537.81873394,21.09098379520427,False,16,,True,False,127.16,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
softmax,7,mismatched_netlist,arm_core,0.9,36,40,7251290.0,6.4309,0.07021,3274055.24765081,8.50822323221054,False,2,,True,False,142.22,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
softmax,123,mismatched_netlist,arm_core,0.9,36,40,7549150.0,6.23719,0.07161,3371791.4296454843,5.7770362885543936,False,5,,True,False,141.94,data_export2/tools/e1.py rollout + FPGAEnv VTR eval; actions in data_export2/logs/e1_actions.json
